"type","environment","flow","state","ownerId","created","modified"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 3","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 4","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 5","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 6","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OLT MENSUAL 7","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","ONBOARDING","Started","db2e3bc5-c6e3-46a5-8ae0-2a964333bef0","2025-08-23","2025-08-23"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OSLT TRIMESTRAL 1","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OSLT TRIMESTRAL 2","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OSLT TRIMESTRAL 3","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","OSLT TRIMESTRAL 4","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2025-01-07","2025-01-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Objetivos 2026 -  - 2f6e01c0-3308-4a8c-926a-f54b3bc38a23","Started","94317e16-618e-4e48-95c6-2488802982d8","2026-06-06","2026-06-06"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Objetivos 2026 -  - 8d3b5689-663a-4a43-8541-9f85c8ea0826","Started","94317e16-618e-4e48-95c6-2488802982d8","2026-06-06","2026-06-06"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Obtener recordatorio por correo electrónico","Stopped","da2df52d-24d1-48e2-b7d8-9de7bd973f93","2024-11-26","2024-11-26"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA-PBISQL-MDGC-MARA-PRD","Stopped","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-06-23","2025-06-23"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA-PBISQL-MDGC-MARM-PRD","Stopped","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-06-23","2025-06-23"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA-PBISQL-MDGC-MARX-PRD","Started","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-06-23","2025-08-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA-SQLMDG-CONN-PRD","Started","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-05-15","2025-08-14"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PAPPS _EXAM_OSCAR_VELIZ","Stopped","dfa9dee1-513f-4743-bce8-cbd5c80da46d","2025-10-08","2025-10-08"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PAPPS _EXAM_OSCAR_VELIZ_PROGRAMADO","Stopped","dfa9dee1-513f-4743-bce8-cbd5c80da46d","2025-10-08","2025-10-08"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA_Flow_Goldenbelt","Started","964f35fa-6c39-4b55-9535-a6d105d0eba1","2025-10-05","2025-10-08"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA_Flow_Goldenbelt_DOC","Started","964f35fa-6c39-4b55-9535-a6d105d0eba1","2025-12-02","2026-07-31"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PA_Flow_PO_Documentation","Started","964f35fa-6c39-4b55-9535-a6d105d0eba1","2025-09-26","2025-10-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PDI 2026 - Recordatorio","Stopped","3dcda98e-ac05-4a38-8093-8823230214d8","2026-03-29","2026-04-30"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PLASTICOS","Stopped","c5a9d275-dbe4-4b1d-93a1-f66e20584d8a","2025-05-07","2025-05-07"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PLÁSTICOS","Started","3fc19695-9bdf-4e13-b59f-e9ce55412e25","2026-01-09","2026-05-04"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","POC-DatosBI-SQL-MDGConnect","Stopped","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-05-26","2025-06-10"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","POC-MARA_Test2","Started","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-06-16","2025-06-23"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","POC-MARM_Test2","Stopped","7d2b3b36-f960-485a-ae61-8d2d54df19aa","2025-06-13","2025-06-23"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","PRUEBA FORMATO FERT","Started","5af2e374-e178-42d8-8c21-d3896ee73679","2024-09-23","2024-09-30"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Pago a proveedores por mail","Started","e30bfe21-47a8-4828-865f-ee443b578d2e","2025-11-24","2026-04-21"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Pedidos retenidos por bajo peso","Started","b39580c6-a0f2-4691-b00f-d599dcc1ec97","2025-11-28","2026-02-25"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Periodicidad -> Inicializar variable,Aplicar a cada uno,Obtener ele...","Stopped","ac84850a-cd59-4597-883a-ebc3750b362d","2023-03-22","2023-03-22"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Plan de Fidelización: Multiplicadores","Stopped","5e64cffd-d26f-4b3a-8070-271dd8b867ea","2025-09-29","2026-01-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Planner","Started","eacec260-bde4-4293-9489-81fd2c2a1c51","2026-06-29","2026-06-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Planner Eventos","Started","eacec260-bde4-4293-9489-81fd2c2a1c51","2026-06-29","2026-06-29"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Plásticos","Stopped","276f5bbf-f812-4bfc-a06c-b8f97e7f70bd","2024-02-01","2025-01-21"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Post a message to Microsoft Teams for a selected item","Started","d41f0b72-9909-42e6-a54b-1b5a7d6489b6","2025-11-26","2025-11-26"
